"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","MCS"
"*0558w*","William Saliba","ARS","D","54","CC FC","EVE 1<br/>@ARS 2 F","380.3","10.01","99%","0%","38","38","3,420","2","1","0","6","0","4","0","26","4","13","16","4","0","1","29","7","78","10","17","72","213","0","0","0","29","1,620"
"*05uoc*","Cristian Romero","TOT","D","55","Laeka B","TOT 3<br/>@SHU 0 F","375.77","11.39","50%","-1%","33","33","2,790","5","0","0","7","0","10","2","40","3","4","24","7","1","0","44","7","100","5","22","90","189","0","0","1","42","630"
"*043qy*","Lewis Cook","BOU","M","56","RDN","BOU 1<br/>@CHE 2 F","373.96","11.33","12%","0%","33","32","2,786","0","3","1","46","0","4","0","41","1","19","16","5","1","6","65","6","43","21","11","42","228","0","0","0","50","717"
"*05r8o*","Jean-Philippe Mateta","CRY","F","57","Noah B","AVL 0<br/>@CRY 5 F","372","10.63","93%","-2%","35","25","2,262","16","5","0","32","2","29","0","15","0","78","22","3","0","4","4","0","14","25","4","50","81","0","2","0","44","609"
"*04spw*","James Garner","EVE","M","58","RyRob","EVE 1<br/>@ARS 2 F","368.48","9.96","84%","0%","37","34","2,998","1","2","0","44","0","11","4","44","0","10","44","7","0","6","45","3","45","19","14","25","172","0","0","0","47","1,012"
"*06fup*","Jeremy Doku","MCI","F","59","Laeka B","WHU 1<br/>@MCI 3 F","367.25","12.66","99%","0%","29","18","1,572","3","8","0","45","2","19","2","22","0","37","33","3","0","12","9","1","2","87","0","2","75","0","2","0","19","310"
"*061x2*","Darwin Nunez","LIV","F","60","FA","WOL 0<br/>@LIV 2 F","364.75","10.13","2%","0%","36","22","2,020","11","8","0","33","3","46","7","12","0","29","15","9","0","3","3","0","9","15","6","34","56","1","1","0","25","579"
"*03jly*","Andreas Pereira","FUL","M","61","FA","FUL 4<br/>@LUT 2 F","364.73","9.86","7%","0%","37","34","2,607","3","7","1","84","2","16","3","12","0","41","27","6","0","18","4","0","11","19","2","14","99","0","0","0","40","741"
"*04tig*","Fabian Schar","NEW","D","62","CmBk","NEW 4<br/>@BRF 2 F","364.26","10.12","28%","0%","36","35","3,050","4","1","0","10","2","9","0","24","1","12","26","5","0","3","36","4","129","13","38","71","174","0","2","0","58","821"
"*0414p*","Carlton Morris","LUT","F","64","j.l.","FUL 4<br/>@LUT 2 F","354","9.32","0%","0%","38","32","2,851","11","4","0","22","2","31","3","8","0","53","43","4","0","0","1","0","53","31","5","134","71","0","0","0","72","90"
"*06ex4*","Josko Gvardiol","MCI","D","65","j.l.","WHU 1<br/>@MCI 3 F","353.69","12.63","67%","+21%","28","26","2,323","4","1","0","18","1","14","0","33","0","14","22","3","0","4","27","4","26","26","12","32","150","0","1","0","23","820"
"*05u94*","Michael Olise","CRY","M","66","BBFC","AVL 0<br/>@CRY 5 F","352.85","18.57","0%","0%","19","14","1,267","10","6","0","36","0","21","0","10","0","33","43","0","0","16","11","0","9","40","0","7","68","0","0","0","19","257"
"*02lsa*","Dan Burn","NEW","D","67","CmBk","NEW 4<br/>@BRF 2 F","352.81","10.69","75%","+1%","33","32","2,724","2","2","0","10","0","6","0","33","0","10","11","4","0","4","37","6","119","4","25","102","124","0","0","0","45","758"
"*062dt*","Joao Palhinha","FUL","M","68","BBFC","FUL 4<br/>@LUT 2 F","352.21","10.67","42%","0%","33","31","2,693","4","1","0","13","0","14","0","75","0","26","56","13","0","1","46","6","54","11","9","41","195","0","0","0","46","695"
