"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*04mdj*","Nathan Broadhead","IPS","F","339","FA","WHU 3<br/>@IPS 1 F","73.75","4.1","0%","0%","18","7","680","2","0","0","7","0","8","0","4","0","14","13","1","0","0","4","1","0","5","17","1","1","0","0","0","12","76"
"*04qos*","Issa Diop","FUL","D","340","FA","MCI 2<br/>@FUL 0 F","73.38","3.49","2%","+1%","21","15","1,329","0","0","0","3","0","2","0","12","0","2","4","2","0","0","9","2","0","70","1","7","20","0","0","1","19","92"
"*06mg6*","Wes Burns","IPS","F","341","FA","WHU 3<br/>@IPS 1 F","73.25","4.07","0%","0%","18","12","916","0","1","0","10","0","1","0","11","0","13","11","1","0","7","10","0","1","12","9","2","8","0","0","0","23","143"
"*05m47*","George Hirst","IPS","F","342","FA","WHU 3<br/>@IPS 1 F","73","2.81","0%","0%","26","5","625","3","1","0","4","0","7","0","3","0","16","12","3","0","1","2","1","0","10","2","1","32","0","0","0","16","30"
"*057cr*","Kevin Danso","SOU/TOT","D","343","FA","BHA 4<br/>@TOT 1 F","71.38","7.14","12%","0%","10","9","842","0","0","0","2","0","3","0","5","0","3","13","0","0","1","6","0","1","70","2","14","21","0","0","0","18","77"
"*03ar4*","Adam Armstrong","SOU","F","344","FA","ARS 2<br/>@SOU 1 F","71.25","3.56","5%","0%","20","15","1,238","2","2","0","9","1","9","0","3","0","18","5","4","0","3","3","1","0","8","6","1","5","1","0","0","35","178"
"*06pig*","Morato","NOT","D","345","FA","CHE 1<br/>@NOT 0 F","71.06","2.73","1%","0%","26","6","874","0","0","0","0","0","1","0","14","0","3","2","5","0","0","10","2","0","75","2","5","6","0","0","0","14","395"
"*05unu*","Romeo Lavia","CHE","M","346","FA","CHE 1<br/>@NOT 0 F","69.56","4.35","2%","-1%","16","11","786","0","1","0","7","0","0","0","13","0","7","7","4","0","0","16","1","0","10","10","0","12","0","0","0","11","186"
"*0328q*","Tom Cairney","FUL","M","347","FA","MCI 2<br/>@FUL 0 F","68.94","2.76","1%","0%","25","3","590","2","0","0","11","0","4","0","5","0","4","19","3","1","4","4","1","0","3","5","1","5","0","0","0","12","107"
"*03vll*","Michail Antonio","WHU","F","348","FA","WHU 3<br/>@IPS 1 F","68","4.86","0%","0%","14","11","832","1","1","0","9","3","4","1","2","0","19","7","1","0","2","0","0","0","2","9","0","17","0","0","0","18","201"
"*02oq7*","Jack Stephens","SOU","D","350","FA","ARS 2<br/>@SOU 1 F","65.94","3.47","0%","0%","19","17","1,389","1","0","0","3","0","2","0","20","1","3","4","2","2","0","13","4","1","49","0","13","6","0","0","0","28","168"
"*06873*","Joao Felix","CHE","F","351","FA","CHE 1<br/>@NOT 0 F","65","5.42","0%","0%","12","3","353","1","1","0","6","1","6","0","3","0","4","17","2","0","0","3","0","0","2","10","0","4","0","0","0","4","55"
"*05ojf*","Fabio Carvalho","BRF","M","352","FA","BRF 1<br/>@WOL 1 F","64.7","3.41","4%","0%","19","3","428","2","1","0","4","0","6","1","9","0","8","10","1","0","1","3","0","0","2","2","1","2","0","0","0","14","18"
"*02ljr*","Conor Coady","LEI","D","353","FA","LEI 0<br/>@BOU 2 F","62.99","2.86","0%","0%","22","19","1,707","1","0","0","1","0","2","0","9","0","3","2","3","0","0","13","3","1","71","1","24","13","0","0","0","42","180"
"*062h9*","Luis Sinisterra","BOU","F","354","FA","LEI 0<br/>@BOU 2 F","62.75","5.23","0%","0%","12","1","220","1","1","0","10","0","6","1","2","0","3","2","0","0","2","1","0","0","7","8","0","3","0","0","0","4","26"
"*05mxc*","Timo Werner","TOT","F","355","FA","BHA 4<br/>@TOT 1 F","62.75","3.49","0%","0%","18","4","491","0","3","0","10","0","3","0","4","0","6","5","0","0","3","1","0","0","6","10","1","0","0","0","0","12","89"
"*04ge7*","Donyell Malen","ARS/AVL","F","356","FA","AVL 0<br/>@MUN 2 F","62","4.43","13%","0%","14","2","286","3","0","0","3","0","9","1","4","0","7","5","0","0","0","0","0","0","1","4","0","4","0","0","0","6","46"
"*04s60*","Jannik Vestergaard","LEI","D","357","FA","LEI 0<br/>@BOU 2 F","62","3.44","0%","0%","18","16","1,389","0","0","0","3","0","2","0","10","1","0","4","5","0","0","16","3","1","74","4","14","27","0","0","1","35","0"
"*062a9*","Sven Botman","NEW","D","358","Will","EVE 1<br/>@NEW 0 F","61.99","7.75","49%","+5%","8","6","409","0","0","0","2","0","2","0","9","1","1","4","1","0","0","5","0","0","25","1","4","17","0","0","0","4","150"
"*0554t*","William Smallbone","SOU","M","359","FA","ARS 2<br/>@SOU 1 F","61.01","3.39","0%","0%","18","6","668","1","0","0","10","0","1","1","13","0","6","3","1","0","4","2","0","0","15","4","0","4","0","0","0","22","1"
"*06kx1*","Justin Devenny","CRY","M","360","FA","CRY 1<br/>@LIV 1 F","60.83","2.64","2%","0%","23","4","479","1","1","0","7","0","6","0","12","0","3","0","1","0","1","0","0","0","11","2","1","2","0","0","0","8","52"
"*0522a*","James Bree","SOU","D","361","FA","ARS 2<br/>@SOU 1 F","60.59","3.56","0%","0%","17","13","1,066","0","1","0","9","0","1","0","14","1","5","5","0","0","6","9","1","0","27","4","3","13","0","0","0","31","99"
"*04xjr*","Harvey Elliott","LIV","M","362","Brad","CRY 1<br/>@LIV 1 F","60.3","3.35","8%","0%","18","2","347","1","2","0","10","0","4","1","3","0","4","1","1","0","1","1","0","0","3","4","2","1","0","0","0","6","50"
"*05t6z*","Tim Iroegbunam","EVE","M","363","FA","EVE 1<br/>@NEW 0 F","59.81","3.32","3%","0%","18","5","550","0","1","0","3","0","0","0","14","0","18","12","4","0","0","16","1","0","11","8","4","11","0","0","0","16","28"
"*06mg2*","Jack Taylor","IPS","M","364","FA","WHU 3<br/>@IPS 1 F","59.76","1.87","0%","0%","32","4","809","1","0","0","5","0","4","0","10","0","6","5","4","0","1","9","1","0","21","4","3","7","0","0","0","21","1"
