"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*04u6j*","Martin Montoya","BHA","D","249","FA","MCI 4<br/>@BHA 1 F","115","4.6","0%","0%","25","0","18","1","1","32","10","4","0","0","16","49","60","14","24","0","41","3"
"*04fkc*","Francisco Femenia Far","WAT","D","250","FA","WHU 4<br/>@WAT 1 F","114.75","3.96","0%","0%","29","1","12","1","2","31","11","1","0","0","13","38","65","12","15","0","36","4"
"*04ym1*","Gonzalo Higuain","CHE","F","251","John L","CHE 0<br/>@LEI 0 F","114","8.14","0%","0%","14","5","15","0","15","7","23","0","0","0","0","1","5","9","7","0","0","5"
"*04rhe*","Naby Keita","LIV","M","253","FA","WOL 0<br/>@LIV 2 F","112.5","4.5","0%","0%","25","2","9","1","10","15","29","0","0","0","0","13","11","23","8","0","0","10"
"*043c1*","Oleksandr Zinchenko","MCI","M","254","Laeka B","MCI 4<br/>@BHA 1 F","112","8","1%","0%","14","0","12","3","1","20","6","1","0","0","7","22","19","4","24","0","4","9"
"*04u6l*","Andre Gomes","EVE","M","255","FA","EVE 2<br/>@TOT 2 F","109","4.04","0%","0%","27","1","6","2","5","24","54","7","0","0","3","20","18","38","40","0","0","9"
"*03r93*","Joseph Gomez","LIV","D","256","Noah B","WOL 0<br/>@LIV 2 F","108.5","6.78","3%","+1%","16","0","7","0","1","11","3","2","0","0","2","15","40","4","24","0","4","7"
"*04qrd*","Ivan Cavaleiro","WOL","F","257","FA","WOL 0<br/>@LIV 2 F","108","4.7","0%","0%","23","3","19","1","4","4","21","1","0","0","14","4","4","16","9","0","0","1"
"*04qra*","Romain Saiss","WOL","M","258","FA","WOL 0<br/>@LIV 2 F","108","5.68","0%","0%","19","2","4","0","5","26","2","7","0","0","2","27","59","6","60","0","11","3"
"*02rn4*","Junior Stanislas","BOU","M","259","FA","BOU 3<br/>@CRY 5 F","108","4.7","0%","0%","23","2","15","3","10","7","12","1","0","0","3","2","15","12","10","0","3","2"
"*04s2u*","Maxime Le Marchand","FUL","D","260","FA","NEW 4<br/>@FUL 0 F","107.5","4.13","0%","0%","26","0","9","1","0","37","8","5","0","0","4","55","118","8","55","0","53","3"
"*02ook*","Adrian Mariappa","WAT","D","261","FA","WHU 4<br/>@WAT 1 F","107.5","4.13","0%","0%","26","0","5","0","1","23","7","3","0","0","1","25","116","1","61","0","31","5"
"*04ril*","Sokratis","ARS","D","262","BUK","ARS 3<br/>@BUR 1 F","105.5","4.22","0%","0%","25","1","5","2","2","27","7","12","0","0","1","27","108","4","55","0","33","5"
