"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*050jq*","Marc Guehi","CRY","D","100","DF","NOT 1<br/>@CRY 1 F","13.25","13.25","98%","0%","1","1","90","0","0","0","0","0","1","0","2","0","0","1","0","0","0","1","0","4","0","1","1","0","0","0","0","90"
"*04fk1*","Pascal Gross","BHA","M","16","RK U8","BHA 1<br/>@AVL 2 F","12.75","12.75","74%","0%","1","1","90","0","1","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"*061va*","Boubacar Kamara","AVL","M","258","FA","BHA 1<br/>@AVL 2 F","12.75","12.75","7%","0%","1","1","90","0","0","0","1","0","0","0","2","0","2","4","0","0","0","3","0","0","1","1","1","0","0","0","0","90"
"*03dx7*","Ben Mee","BRF","D","22","YUM","MCI 0<br/>@BRF 1 F","12.75","12.75","0%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","4","0","0","0","0","90"
"*05mzz*","Pascal Struijk","LEE","D","123","j.l.","TOT 4<br/>@LEE 1 F","12.5","12.5","45%","-14%","1","1","90","0","0","0","0","0","0","0","3","0","0","0","1","0","0","1","0","6","0","1","3","0","0","0","0","90"
"*062ci*","Kaoru Mitoma","BHA","M","34","Laeka B","BHA 1<br/>@AVL 2 F","12.25","12.25","91%","-1%","1","1","90","1","0","0","0","0","1","0","0","0","3","1","0","0","0","1","0","0","0","0","2","0","0","0","4","0"
"*03yq8*","Demarai Gray","EVE","M","93","RyRob","BOU 0<br/>@EVE 1 F","12.25","12.25","0%","0%","1","1","90","1","0","0","0","0","1","0","0","0","3","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
"*046c5*","Jarrod Bowen","WHU","M","25","RyRob","WHU 1<br/>@LEI 2 F","12","12","100%","0%","1","1","90","0","0","0","4","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","0"
"*05tr5*","Mads Roerslev","BRF","D","324","FA","MCI 0<br/>@BRF 1 F","12","12","0%","0%","1","1","90","0","0","0","1","0","0","0","2","0","0","1","0","0","0","1","0","3","0","0","1","0","0","0","0","90"
"*063u9*","Remo Freuler","NOT","M","252","FA","NOT 1<br/>@CRY 1 F","11.75","11.75","0%","0%","1","1","90","0","0","0","1","0","0","0","2","0","0","1","0","0","0","5","0","0","0","0","1","0","0","0","1","0"
"*04tm0*","Lucas Digne","AVL","D","254","011","BHA 1<br/>@AVL 2 F","11.75","11.75","60%","-3%","1","1","90","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","1","0","0","0","0","90"
"*02t1k*","Nathaniel Clyne","CRY","D","345","FA","NOT 1<br/>@CRY 1 F","11.75","11.75","1%","0%","1","1","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","2","0","0","1","0","0","0","0","90"
"*04fyg*","Zanka","BRF","D","332","FA","MCI 0<br/>@BRF 1 F","11.75","11.75","0%","0%","1","1","90","0","0","0","0","0","0","0","3","0","0","1","0","0","0","2","0","4","0","0","0","0","0","0","0","90"
"*048xg*","Josh Dasilva","BRF","M","228","FA","MCI 0<br/>@BRF 1 F","11.73","11.73","0%","0%","1","1","66","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","66"
"*02oq6*","Luke Shaw","MUN","D","60","FA","FUL 1<br/>@MUN 2 F","11.5","11.5","54%","+3%","1","1","90","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","0","1","0","1","1","0","0","0","0","90"
