"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","AER","AC","HCS","Sm","OG","SOT"
"*03pif*","Karl Darlow","NEW","G","52","FA","NEW 1<br/>@CHE 1 F","0","0","18%","-12%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oef*","Alphonse Areola","WHU","G","34","FA","WHU 1<br/>@LEI 2 F","0","0","8%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u40*","Kepa","CHE","G","11","KFFC","NEW 1<br/>@CHE 1 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062cw*","Stefan Ortega","MCI","G","28","FA","MCI 0<br/>@BRF 1 F","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02xtd*","Sam Johnstone","CRY","G","25","FA","NOT 1<br/>@CRY 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063e3*","Neto","BOU","G","12","FA","BOU 0<br/>@EVE 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063c2*","Gabriel Slonina","CHE","G","81","FA","NEW 1<br/>@CHE 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lo6*","Daniel Bentley","WOL","G","29","FA","WOL 0<br/>@ARS 5 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","21","FA","BHA 1<br/>@AVL 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","61","FA","WOL 0<br/>@ARS 5 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","41","FA","TOT 4<br/>@LEE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","59","FA","FUL 1<br/>@MUN 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","50","FA","MCI 0<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","CHE","G","44","FA","NEW 1<br/>@CHE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056as*","William Dennis","BOU","G","54","FA","BOU 0<br/>@EVE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","56","FA","NEW 1<br/>@CHE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ltw*","Fraser Forster","TOT","G","23","FA","TOT 4<br/>@LEE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","70","FA","BHA 1<br/>@AVL 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pa*","Joseph Whitworth","CRY","G","39","FA","NOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0645w*","Krisztian Hegyi","WHU","G","60","FA","WHU 1<br/>@LEI 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y6a*","Filip Marschall","AVL","G","69","FA","BHA 1<br/>@AVL 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062ds*","Matt Turner","ARS","G","88","FA","WOL 0<br/>@ARS 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06617*","Keehan Willows","NOT","G","93","FA","NOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
