"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05trz*","William Troost-Ekong","WAT","D","439","FA","WAT 1<br/>@CHE 2 F","14.25","0.84","0%","0%","17","1,386","0","0","1","0","0","0","9","0","3","0","0","7","81","1","13","24","0","0","0","30","0"
"*032f5*","Paul Dummett","NEW","D","440","FA","NEW 2<br/>@BUR 1 F","13.75","4.58","0%","0%","3","197","0","0","0","0","0","0","3","0","2","0","0","3","5","0","0","5","0","0","0","1","1"
"*05yjo*","Samuel Kalu","WAT","F","441","FA","WAT 1<br/>@CHE 2 F","13.75","3.44","0%","0%","4","221","0","0","1","0","0","1","2","5","0","0","2","3","2","4","0","0","0","0","0","6","1"
"*02lzn*","Theo Walcott","SOU","M","442","FA","SOU 1<br/>@LEI 4 F","13.75","1.53","0%","0%","9","372","0","0","1","0","0","0","2","1","0","0","0","5","2","1","0","4","0","0","0","8","0"
"*05rl4*","Crysencio Summerville","LEE","M","444","FA","LEE 2<br/>@BRF 1 F","13.25","2.21","79%","-2%","6","121","0","0","2","0","0","0","3","2","0","0","0","2","0","4","0","0","0","0","0","1","0"
"*02lnd*","Phil Jones","MUN","D","445","FA","MUN 0<br/>@CRY 1 F","13","3.25","0%","0%","4","159","0","0","0","0","0","0","5","0","0","0","0","3","8","1","4","2","0","0","0","3","0"
"*03sin*","Kenedy","CHE","M","447","FA","WAT 1<br/>@CHE 2 F","12","12","0%","0%","1","58","0","1","2","0","0","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*03jab*","Federico Fernandez","NEW","D","448","FA","NEW 2<br/>@BUR 1 F","11.75","1.68","0%","0%","7","519","0","0","1","0","0","1","0","0","0","0","0","4","27","0","10","10","0","0","0","12","0"
"*05uh9*","Bryan Gil","TOT","F","449","FA","TOT 5<br/>@NOR 0 F","11","1.22","0%","0%","9","80","0","0","2","0","0","1","0","2","0","0","2","0","0","4","0","0","0","0","0","1","0"
"*05gco*","Pablo Mari","ARS","D","450","FA","EVE 1<br/>@ARS 5 F","11","5.5","0%","0%","2","180","0","0","1","0","0","0","3","0","1","0","0","3","10","0","4","5","0","0","0","4","0"
