"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*045c8*","Gabriel Jesus","MCI","F","79","Noah B","EVE 0<br/>@MCI 5 F","260.75","8.99","10%","0%","29","2,048","9","4","31","0","0","16","6","38","2","0","3","15","5","48","0","19","0","0","17","11"
"*05ojg*","Nelson Semedo","WOL","D","78","No Slips","MUN 2<br/>@WOL 1 F","260.75","7.67","1%","0%","34","2,985","1","1","21","0","0","11","48","27","5","0","15","41","70","62","10","41","0","1","45","9"
"*0327v*","Wilfried Zaha","CRY","M","80","JLINGZ","CRY 0<br/>@LIV 2 F","260","8.67","0%","0%","30","2,612","11","2","30","0","0","20","18","77","6","0","6","9","1","55","0","9","0","0","52","6"
"*03rec*","Tyrone Mings","AVL","D","81","JADON","CHE 1<br/>@AVL 2 F","257.75","7.16","12%","-1%","36","3,195","2","2","7","0","0","7","16","4","4","1","1","41","170","6","40","91","0","1","42","14"
"*05o8m*","James Rodriguez","EVE","M","82","Tim O","EVE 0<br/>@MCI 5 F","257.25","11.18","0%","0%","23","1,766","6","4","40","0","1","18","17","38","4","0","6","15","1","34","0","6","0","0","27","5"
"*03r8x*","Callum Wilson","NEW","F","83","FA","NEW 2<br/>@FUL 0 F","255.5","9.83","16%","+4%","26","2,081","12","5","17","1","0","20","5","39","2","0","0","7","14","26","3","44","0","0","37","5"
"*02vlk*","Cesar Azpilicueta","CHE","D","84","JLINGZ","CHE 1<br/>@AVL 2 F","255","9.81","0%","0%","26","2,187","1","2","27","0","0","5","28","6","5","1","7","28","59","6","5","55","0","0","20","13"
"*03g40*","Kelechi Iheanacho","LEI","F","85","Noah B","TOT 4<br/>@LEI 2 F","251.75","10.07","0%","0%","25","1,450","12","2","28","0","0","25","5","34","1","0","5","2","1","32","0","8","1","0","23","5"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","86","Tim O","TOT 4<br/>@LEI 2 F","251","6.61","0%","0%","38","3,420","2","4","16","0","0","7","51","20","9","0","1","48","64","23","9","44","0","0","45","12"
"*04t3s*","Joao Moutinho","WOL","M","87","Noah B","MUN 2<br/>@WOL 1 F","251","7.61","0%","0%","33","2,528","1","1","46","0","0","4","40","11","3","1","14","47","24","13","3","18","0","0","40","6"
"*02lo3*","Gareth Bale","TOT","M,F","88","JADON","TOT 4<br/>@LEI 2 F","250.5","12.53","0%","0%","20","907","11","2","21","0","0","19","10","7","1","0","5","8","14","27","2","23","0","0","12","5"
"*04s8k*","Jorginho","CHE","M","89","JLINGZ","CHE 1<br/>@AVL 2 F","250.25","8.94","0%","0%","28","2,008","7","1","24","0","0","9","30","14","2","0","3","40","20","17","5","17","2","0","17","14"
"*02lnq*","Paul Pogba","MUN","M","90","No Slips","MUN 2<br/>@WOL 1 F","250.25","9.62","0%","0%","26","1,893","3","3","26","0","2","11","26","50","3","0","2","26","37","44","2","55","0","0","26","5"
"*03dx7*","Ben Mee","BUR","D","91","FA","BUR 0<br/>@SHU 1 F","248.75","8.29","0%","0%","30","2,693","2","0","6","0","0","7","15","2","3","0","0","43","148","4","45","110","0","0","41","10"
"*04qrd*","Ivan Cavaleiro","FUL","F","93","JLINGZ","NEW 2<br/>@FUL 0 F","245.25","6.81","0%","0%","36","2,459","3","0","43","0","0","17","14","50","2","0","15","19","14","53","1","48","1","0","43","7"
"*05o4b*","Matty Cash","AVL","D","95","I_am_Tim","CHE 1<br/>@AVL 2 F","241.75","8.63","80%","-1%","28","2,375","0","2","21","0","0","2","40","13","6","1","22","60","82","12","11","35","0","0","35","11"
"*051la*","David McGoldrick","SHU","F","96","Tim O","BUR 0<br/>@SHU 1 F","241.75","6.91","0%","0%","35","2,391","8","1","17","0","0","24","21","44","7","0","5","2","23","47","3","88","0","0","37","9"
"*056iw*","Allan Saint-Maximin","NEW","M","97","CFPL","NEW 2<br/>@FUL 0 F","240","9.6","0%","0%","25","1,554","3","4","30","0","0","13","9","52","0","0","6","4","1","96","0","7","0","0","26","7"
"*04yo6*","Miguel Almiron","NEW","M","98","JADON","NEW 2<br/>@FUL 0 F","237","6.97","0%","0%","34","2,426","4","1","31","0","0","15","29","34","3","0","8","25","18","39","4","8","0","0","48","5"
"*03arh*","Kurt Zouma","CHE","D","99","JADON","CHE 1<br/>@AVL 2 F","236.5","9.85","0%","0%","24","2,025","5","0","4","0","0","12","10","4","3","0","0","28","91","2","9","87","0","0","25","9"
"*05gcx*","Josh Brownhill","BUR","M","100","FA","BUR 0<br/>@SHU 1 F","236","7.15","3%","0%","33","2,810","0","1","18","0","0","7","27","15","2","0","4","69","37","15","11","65","0","0","42","10"
"*05n03*","Kalvin Phillips","LEE","M","101","Yum","WBA 1<br/>@LEE 3 F","235.5","8.12","0%","0%","29","2,427","1","2","35","0","0","5","38","16","10","0","9","45","49","20","14","30","0","0","34","9"
"*05mxa*","Joel Veltman","BHA","D","102","RyRob","BHA 0<br/>@ARS 2 F","235.25","8.4","3%","0%","28","2,281","1","1","22","0","0","4","33","7","3","0","20","33","60","18","5","42","0","0","27","9"
"*04mqy*","Pierre-Emerick Aubameyang","ARS","F","103","No Slips","BHA 0<br/>@ARS 2 F","233.75","8.06","0%","0%","29","2,328","10","3","22","0","0","22","8","19","2","0","10","7","15","12","0","35","0","1","26","10"
"*05opl*","Wesley Fofana","LEI","D","104","JADON","TOT 4<br/>@LEI 2 F","233.5","8.34","26%","+1%","28","2,258","0","0","6","0","1","2","37","12","7","0","0","61","92","15","16","91","0","0","30","7"
"*04qra*","Romain Saiss","WOL","D","105","CFPL","MUN 2<br/>@WOL 1 F","233","8.63","0%","0%","27","2,408","3","0","5","0","0","11","24","2","2","0","4","52","111","9","13","71","0","0","40","8"
"*04e1c*","Lewis Dunk","BHA","D","108","Yum","BHA 0<br/>@ARS 2 F","229.25","6.95","32%","+5%","33","2,931","5","0","10","0","0","15","15","1","5","2","0","32","104","6","20","78","0","1","38","11"
"*02on3*","Matthew Lowton","BUR","D","109","Yum","BUR 0<br/>@SHU 1 F","229","6.74","0%","0%","34","3,060","1","1","26","0","0","4","32","10","5","0","12","56","79","27","13","34","0","0","47","10"
"*02ln2*","Jonny Evans","LEI","D","110","Tim O","TOT 4<br/>@LEI 2 F","228.25","8.15","0%","0%","28","2,474","2","2","10","0","0","3","12","4","7","0","0","46","96","8","3","93","0","1","31","10"
"*05os8*","Joachim Andersen","FUL","D","111","FA","NEW 2<br/>@FUL 0 F","228","7.35","50%","-1%","31","2,729","1","1","8","0","0","3","19","3","7","1","1","44","150","9","13","99","0","0","35","10"
"*056mf*","Neal Maupay","BHA","F","112","FA","BHA 0<br/>@ARS 2 F","227.75","6.9","0%","0%","33","2,507","8","2","32","0","0","26","8","48","1","1","5","13","6","24","0","21","1","0","34","10"
"*05omu*","Ruben Dias","MCI","D","115","No Slips","EVE 0<br/>@MCI 5 F","226.25","7.07","73%","0%","32","2,844","1","0","3","0","0","6","13","4","4","0","1","35","90","6","23","62","0","1","21","17"
"*02lls*","Marc Albrighton","LEI","M","114","CFPL","TOT 4<br/>@LEI 2 F","226.25","7.3","0%","0%","31","1,726","1","5","38","0","0","10","19","29","2","0","15","17","20","37","3","10","0","0","22","4"
"*05n04*","Mateusz Klich","LEE","M","116","FA","WBA 1<br/>@LEE 3 F","226","6.46","0%","0%","35","2,381","4","5","44","0","0","11","20","22","6","0","7","11","15","13","4","15","0","0","44","8"
"*04s60*","Jannik Vestergaard","SOU","D","117","FA","SOU 0<br/>@WHU 3 F","223","7.43","0%","0%","30","2,574","3","0","7","0","1","8","31","6","3","1","1","42","119","7","16","98","0","0","46","6"
"*03mga*","Darnell Furlong","WBA","D","118","RyRob","WBA 1<br/>@LEE 3 F","222.5","6.36","0%","0%","35","2,929","1","3","16","0","0","5","27","10","5","0","17","49","78","10","16","119","0","1","63","6"
"*03rzp*","Antonee Robinson","FUL","D","119","FA","NEW 2<br/>@FUL 0 F","221.75","7.92","72%","+7%","28","2,155","0","0","29","0","0","4","28","22","4","1","27","37","54","51","4","36","0","0","27","5"
"*02lkm*","Jonjo Shelvey","NEW","M","120","FA","NEW 2<br/>@FUL 0 F","221.5","7.38","0%","0%","30","2,617","1","3","37","0","0","9","14","5","7","0","10","36","40","20","14","28","0","0","46","6"
"*05mzx*","Liam Cooper","LEE","D","121","CFPL","WBA 1<br/>@LEE 3 F","220.75","8.83","0%","0%","25","2,186","1","0","0","0","0","9","45","1","4","1","0","61","67","3","32","96","0","0","40","6"
"*055sk*","Nicolas Pepe","ARS","F","122","JLINGZ","BHA 0<br/>@ARS 2 F","219.25","7.56","0%","0%","29","1,602","10","1","11","0","0","21","15","23","1","1","2","12","12","27","1","36","0","0","21","4"
"*04fk9*","Jan Bednarek","SOU","D","123","Noah B","SOU 0<br/>@WHU 3 F","215.75","5.99","0%","0%","36","3,099","1","1","5","0","0","6","19","5","5","1","0","83","132","5","27","98","0","1","59","9"
"*04civ*","Scott McTominay","MUN","M","124","No Slips","MUN 2<br/>@WOL 1 F","215.5","6.73","0%","0%","32","2,122","4","1","17","0","0","8","24","17","3","0","2","29","43","26","10","49","0","0","25","9"
"*04kj7*","Serge Aurier","TOT","D","125","JLINGZ","TOT 4<br/>@LEI 2 F","215","11.32","0%","0%","19","1,605","2","3","18","0","0","6","33","13","0","0","10","19","41","17","5","37","0","0","22","6"
"*0521z*","James Justin","LEI","D","126","FA","TOT 4<br/>@LEI 2 F","213.25","9.27","32%","-5%","23","2,070","2","1","20","0","1","3","37","14","4","0","7","30","44","18","10","26","0","0","25","9"
"*03srm*","N'Golo Kante","CHE","M","127","Tim O","CHE 1<br/>@AVL 2 F","212.75","7.09","0%","0%","30","2,137","0","2","22","0","0","3","42","15","7","0","1","59","26","26","4","17","0","0","24","10"
"*05n01*","Ezgjan Alioski","LEE","M","128","FA","WBA 1<br/>@LEE 3 F","212.5","5.9","0%","0%","36","2,453","2","3","28","0","0","8","31","15","7","0","14","23","40","11","2","40","0","0","35","10"
"*04rxe*","Nathaniel Phillips","LIV","D","129","Laeka B","CRY 0<br/>@LIV 2 F","211.75","12.46","0%","0%","17","1,453","1","1","7","0","0","2","14","3","2","0","0","20","81","2","14","96","0","0","11","7"
"*052ca*","Ezri Konsa","AVL","D","130","FA","CHE 1<br/>@AVL 2 F","211.25","5.87","33%","-1%","36","3,195","2","0","2","0","0","7","13","7","3","0","0","29","158","6","47","96","0","0","46","12"
"*0554i*","Joelinton","NEW","F","131","FA","NEW 2<br/>@FUL 0 F","211","6.81","43%","+1%","31","1,975","4","2","17","0","0","21","21","42","3","0","1","9","21","37","2","83","0","0","36","3"
