"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","OG","SOT"
"*05r3x*","Oliwer Zych","AVL","G","75","FA","CHE 1<br/>@AVL 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gd1*","Nathan Bishop","MUN","G","38","FA","MUN 2<br/>@WOL 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ohb*","Elia Caprile","LEE","G","39","FA","WBA 1<br/>@LEE 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02onc*","Stephen Henderson","CRY","G","47","FA","CRY 0<br/>@LIV 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rkj*","James Hillson","ARS","G","49","FA","BHA 0<br/>@ARS 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rep*","Liam Hughes","LIV","G","50","FA","CRY 0<br/>@LIV 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oej*","Daniel Langley","NEW","G","52","FA","NEW 2<br/>@FUL 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rgy*","Zan-Luk Leban","EVE","G","53","FA","EVE 0<br/>@MCI 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05req*","Jakub Ojrzynski","LIV","G","59","I_am_Tim","CRY 0<br/>@LIV 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rgv*","Arthur Okonkwo","ARS","G","60","FA","BHA 0<br/>@ARS 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r3w*","Akos Onodi","AVL","G","61","FA","CHE 1<br/>@AVL 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kpf*","Nathan Trott","WHU","G","69","FA","SOU 0<br/>@WHU 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056it*","Karlo Ziger","CHE","G","74","FA","CHE 1<br/>@AVL 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rex*","Marek Rodak","FUL","G","76","FA","NEW 2<br/>@FUL 0 F","-0.5","-0.25","0%","0%","2","180","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0"
"*04qqx*","Will Norris","BUR","G","77","FA","BUR 0<br/>@SHU 1 F","-1.75","-0.88","0%","0%","2","180","0","4","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"*03et4*","Willy Caballero","CHE","G","78","FA","CHE 1<br/>@AVL 2 F","-6","-6","0%","0%","1","90","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056is*","Bailey Peacock-Farrell","BUR","G","79","FA","BUR 0<br/>@SHU 1 F","-7.75","-1.94","0%","0%","4","360","0","14","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
